"Iperzola Ponteroncariale","{'Italy': 14}"
"Spezia Calcio 1906","{'Australia': 3, 'France': 6, 'Croatia': 2, 'India': 6, 'Italy': 36, 'Jersey': 6, 'Malta': 2, 'Niger': 2, 'Nigeria': 2, 'America': 3}"
"Fort Lauderdale Strikers (1988-94)","{'America': 90}"
"Al Ittihad FC","{'United Arab Emirates': 3, 'Argentina': 24, 'Australia': 6, 'Austria': 2, 'Belgium': 14, 'Bahrain': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 98, 'Chile': 18, 'China': 10, 'Cameroon': 4, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 4, 'Algeria': 4, 'Egypt': 28, 'Spain': 12, 'France': 8, 'Georgia': 3, 'Ghana': 14, 'Guinea': 6, 'Croatia': 22, 'Hungary': 12, 'Iran, Islamic Republic of': 10, 'Iraq': 2, 'Italy': 6, 'Jordan': 2, 'Japan': 18, 'Korea, Republic of': 7, 'Kuwait': 12, 'Lebanon': 2, 'Morocco': 4, 'Monaco': 6, 'Mexico': 2, 'Mali': 4, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 6, 'Oman': 28, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Qatar': 20, 'Romania': 33, 'Saudi Arabia': 258, 'Sierra Leone': 4, 'Serbia': 4, 'Slovenia': 6, 'Sweden': 4, 'Syrian Arab Republic': 2, 'Tunisia': 20, 'Uruguay': 4, 'Uzbekistan': 16, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 9, 'America': 3, 'Yugoslavia': 3, 'South Korea': 21, 'Russia': 6}"
"Sydney United 58 FC","{'Australia': 192, 'Ghana': 2, 'Guinea': 2, 'Croatia': 64, 'Jordan': 2, 'Japan': 3, 'New Zealand': 6, 'Papua New Guinea': 2, 'Solomon Islands': 3, 'Serbia': 2, 'Scotland': 3, 'Wales': 51}"
"San Diego Nomads","{'America': 21}"
"Lanceros Boyacá","{'Colombia': 14}"
"Rapid Amateur","{}"
"Tianjin Quanjian F.C.","{'Belgium': 6, 'Brazil': 10, 'China': 104, 'Estonia': 4, 'Hong Kong': 8, 'Croatia': 4, 'Korea, Republic of': 2, 'Mongolia': 3, 'Slovenia': 4, 'America': 3, 'South Korea': 6}"
"FK Matador Púchov","{'Benin': 2, 'Central African Republic': 3, 'Malta': 2, 'Slovakia': 32}"
"CD Logroñés","{'Spain': 24, 'Serbia': 2}"
"Poole Town F.C.","{'Virgin Islands, British': 2, 'England': 15}"
"OFC Bdin Vidin","{'Bulgaria': 54}"
"DAV Santa Ana","{'Spain': 8}"
"APOP Kinyras Peyias FC","{'Austria': 2, 'Cyprus': 16}"
"NK Zadar","{'Bosnia and Herzegovina': 4, 'Croatia': 270, 'Yugoslavia': 6}"
"Dibba Al-Hisn Sports Club","{'United Arab Emirates': 18, 'Kuwait': 2}"
"Stade de Reims","{'Argentina': 2, 'Armenia': 2, 'Austria': 6, 'Switzerland': 2, 'Algeria': 2, 'France': 136, 'Monaco': 4, 'England': 3, 'Scotland': 6}"
"Villa Nova Atlético Clube","{'Brazil': 16}"
"Aston Villa F.C.","{'Argentina': 8, 'Austria': 2, 'Bulgaria': 2, 'Egypt': 8, 'United Kingdom': 2, 'Ghana': 2, 'Ireland': 12, 'Jersey': 9, 'Qatar': 4, 'Sweden': 2, 'England': 144, 'Scotland': 15, 'Wales': 3, 'Northern Ireland': 3, 'America': 24}"
"G.D. Fabril","{'Belgium': 2, 'Germany': 2, 'Italy': 2, 'Portugal': 32, 'Yugoslavia': 3}"
"Bradford Park Avenue A.F.C.","{'Jordan': 2, 'England': 120, 'Scotland': 24, 'Wales': 3, 'America': 3}"
"Bayer 04 Leverkusen#Squad","{'Austria': 2, 'Brazil': 10, 'Switzerland': 6, 'Germany': 124, 'Spain': 2, 'Finland': 2, 'Jersey': 9, 'Montenegro': 3, 'Netherlands': 4, 'Serbia': 2, 'Yugoslavia': 3, 'Turkey': 3, 'Russia': 9}"
"Real Madrid C.F.","{'Argentina': 4, 'Austria': 4, 'Brazil': 12, 'Switzerland': 2, 'Chile': 2, 'Colombia': 4, 'Egypt': 4, 'Spain': 74, 'France': 4, 'India': 4, 'Iran, Islamic Republic of': 2, 'Italy': 2, 'Jersey': 3, 'Japan': 3, 'Oman': 4, 'Peru': 2, 'Ukraine': 6, 'England': 9, 'America': 45, 'Russia': 12}"
"FC Tom Tomsk","{'Armenia': 4, 'Bosnia and Herzegovina': 4, 'Belarus': 30, 'Canada': 3, 'Czechia': 2, 'Croatia': 2, 'Jersey': 3, 'Lithuania': 4, 'Moldova, Republic of': 6, 'Montenegro': 6, 'Oman': 10, 'Peru': 4, 'Romania': 15, 'Serbia': 4, 'Togo': 2, 'Ukraine': 12, 'Russia': 450}"
"Club Deportivo El Nacional","{'Brazil': 4, 'Congo': 2, 'Ecuador': 64, 'Italy': 2, 'Paraguay': 2}"
"Grêmio FBPA","{'United Arab Emirates': 3, 'Argentina': 8, 'Belgium': 2, 'Bulgaria': 2, 'Brazil': 106, 'Colombia': 4, 'Costa Rica': 2, 'Germany': 4, 'Denmark': 2, 'Ecuador': 6, 'Estonia': 2, 'France': 2, 'Greece': 2, 'Iran, Islamic Republic of': 6, 'Jersey': 3, 'Luxembourg': 2, 'Mexico': 6, 'Oman': 6, 'Poland': 2, 'Portugal': 2, 'Romania': 3, 'El Salvador': 2, 'Chad': 30, 'Uruguay': 26, 'America': 105, 'Russia': 3}"
"Rapid Vinohrady","{}"
"Mogi Mirim Esporte Clube","{'Brazil': 18, 'India': 6}"
"Brescia Calcio","{'Austria': 4, 'Czechia': 1, 'Spain': 2, 'France': 2, 'Hungary': 3, 'Italy': 16, 'Oman': 4, 'Romania': 6, 'Wales': 3}"
"Sepsi-78","{'Finland': 20}"
"Whitehawk F.C.","{'Argentina': 2, 'Australia': 3, 'Bermuda': 6, 'Brazil': 4, 'Cameroon': 2, 'Dominica': 2, 'Egypt': 2, 'Guinea': 2, 'Gambia': 2, 'Guyana': 4, 'Ireland': 12, 'Jamaica': 9, 'Jordan': 2, 'Saint Kitts and Nevis': 3, 'Sri Lanka': 2, 'Mali': 4, 'Montserrat': 6, 'New Zealand': 3, 'Portugal': 2, 'Senegal': 2, 'England': 174, 'Scotland': 3, 'Northern Ireland': 6}"
"Cuautla FC","{'Mexico': 10}"
"Club Atlético Rosario Central","{'Argentina': 144, 'Brazil': 8, 'Cuba': 2, 'France': 2, 'Hungary': 3, 'Jersey': 3, 'Chad': 4, 'Uruguay': 10, 'England': 3, 'America': 24, 'Turkey': 3}"
"Salernitana Calcio 1919","{'Albania': 2, 'Argentina': 2, 'Australia': 3, 'Austria': 2, 'Bosnia and Herzegovina': 2, 'Switzerland': 2, 'Chile': 2, 'Cameroon': 2, 'Cyprus': 2, 'France': 10, 'Croatia': 2, 'Italy': 14, 'Jamaica': 3, 'Mexico': 2, 'Mali': 2, 'Niger': 6, 'Nigeria': 6, 'Netherlands': 2, 'Norway': 2, 'Oman': 4, 'Peru': 6, 'Poland': 2, 'Romania': 3, 'Senegal': 2, 'Serbia': 2, 'Slovakia': 2, 'Slovenia': 2, 'Sweden': 2, 'Tunisia': 2, 'Uruguay': 2, 'South Africa': 2, 'Turkey': 3, 'Russia': 3}"
"FC Vorarlberg","{'Austria': 74, 'Azerbaijan': 2, 'Cyprus': 2, 'Germany': 2, 'Italy': 2}"
"Girona FC","{'Australia': 3, 'Spain': 92, 'Hungary': 3, 'India': 4, 'Iran, Islamic Republic of': 6, 'Palau': 2, 'Uruguay': 2}"
"Chivas USA","{'Canada': 9, 'Switzerland': 2, 'Colombia': 4, 'Costa Rica': 6, 'Ecuador': 2, 'Honduras': 6, 'Jamaica': 3, 'Jersey': 12, 'Saint Kitts and Nevis': 3, 'Mexico': 26, 'Netherlands': 6, 'New Zealand': 9, 'El Salvador': 4, 'Chad': 2, 'United States': 8, 'Saint Vincent and the Grenadines': 3, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 3, 'America': 45}"
"C.S. Cartaginés","{'Costa Rica': 100, 'Jersey': 3, 'Liberia': 4, 'United States': 2, 'England': 3, 'America': 15}"
"Gamma FC","{'Hungary': 27}"
"Shonan Bellmare","{'Brazil': 2, 'Iraq': 2, 'Japan': 111, 'Peru': 4, 'Russia': 3}"
"FC Zug","{'Switzerland': 16}"
"RNK Split","{'Croatia': 100, 'Slovenia': 2, 'Yugoslavia': 6}"
"Club Sport Uruguay de Coronado","{'Costa Rica': 34, 'Uruguay': 40}"
"Torino FC","{'Aruba': 3, 'Argentina': 2, 'Austria': 2, 'Brazil': 2, 'Switzerland': 4, 'France': 16, 'Hungary': 6, 'Ireland': 3, 'Italy': 72, 'Jersey': 3, 'Liechtenstein': 4, 'Netherlands': 2, 'Oman': 6, 'Peru': 10, 'America': 6}"
"Crișana Oradea","{'Mali': 2, 'Oman': 10, 'Romania': 15}"
"Högaborgs BK","{'Sweden': 10}"
"NAC Breda","{'Belgium': 2, 'Bosnia and Herzegovina': 2, 'Germany': 8, 'Hungary': 3, 'Netherlands': 124, 'Oman': 2, 'Poland': 2, 'England': 6}"
"Tigres UANL","{'Argentina': 46, 'Brazil': 50, 'Chile': 24, 'Colombia': 18, 'Ecuador': 6, 'France': 16, 'Hungary': 3, 'Israel': 10, 'Jersey': 6, 'Mexico': 202, 'Panama': 2, 'Peru': 8, 'Portugal': 2, 'Paraguay': 8, 'Qatar': 2, 'Uruguay': 20, 'Venezuela, Bolivarian Republic of': 1, 'America': 24}"
"PFC Sochi","{'Argentina': 2, 'Armenia': 8, 'Azerbaijan': 2, 'Bulgaria': 2, 'Chile': 2, 'Congo': 2, 'Colombia': 4, 'Ecuador': 8, 'France': 2, 'Croatia': 2, 'Morocco': 2, 'Mali': 2, 'Montenegro': 6, 'Oman': 10, 'Slovenia': 6, 'Turkmenistan': 3, 'Venezuela, Bolivarian Republic of': 1, 'America': 3, 'Russia': 183}"
"Brisbane Roar FC","{'Australia': 216, 'Greenland': 3, 'Indonesia': 6, 'Jersey': 6, 'Jordan': 10, 'Mali': 2, 'Netherlands': 2, 'New Zealand': 6, 'Chad': 2, 'America': 6}"
"C.D. Universidad Católica del Ecuador","{'Argentina': 14, 'Chile': 2, 'Colombia': 2, 'Ecuador': 30, 'Jordan': 2, 'Oman': 2}"
"Luton Town F.C.","{'Finland': 6, 'United Kingdom': 4, 'Ireland': 45, 'Iran, Islamic Republic of': 3, 'Jersey': 18, 'Jordan': 4, 'Japan': 9, 'Niger': 2, 'Nigeria': 2, 'England': 189, 'Scotland': 15, 'Wales': 9, 'Northern Ireland': 6, 'Yugoslavia': 6}"
"Lech Poznań II","{'Poland': 14}"
"Guangzhou Evergrande Taobao","{'Angola': 4, 'Australia': 6, 'Belarus': 4, 'Brazil': 12, 'Canada': 6, 'China': 278, 'Cameroon': 4, 'Congo': 4, 'Colombia': 4, 'Hong Kong': 6, 'Honduras': 4, 'Italy': 6, 'Korea, Republic of': 7, 'Niger': 4, 'Nigeria': 4, 'Oman': 8, 'Peru': 4, 'Paraguay': 8, 'Romania': 12, 'Serbia': 4, 'Trinidad and Tobago': 6, 'Uruguay': 4, 'America': 9, 'South Korea': 21, 'Russia': 3}"
"C.D. Valle del Chota","{'Brazil': 2, 'Congo': 2, 'Ecuador': 66}"
"FC Krasnaya Presnya Moscow","{'Iraq': 2, 'Lithuania': 2, 'Oman': 2, 'Russia': 126}"
"SK Nusle","{'Austria': 2, 'Czechia': 4, 'Hungary': 3}"
"K.A.A. Gent","{'Albania': 2, 'Austria': 4, 'Belgium': 180, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Belarus': 2, 'Canada': 3, 'Switzerland': 2, 'Congo': 4, 'Costa Rica': 4, 'Germany': 6, 'Denmark': 2, 'Egypt': 2, 'Spain': 6, 'France': 26, 'Ghana': 2, 'Croatia': 2, 'Hungary': 9, 'Iceland': 4, 'Israel': 6, 'Italy': 4, 'Jordan': 4, 'Luxembourg': 4, 'Morocco': 4, 'Mali': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 26, 'Norway': 6, 'Oman': 10, 'Portugal': 4, 'Romania': 15, 'Serbia': 4, 'Sweden': 4, 'Togo': 2, 'Ukraine': 9, 'England': 6, 'Scotland': 3, 'Turkey': 3, 'Russia': 12}"
"NK Zagreb","{'Albania': 4, 'Austria': 6, 'Belgium': 2, 'France': 2, 'Croatia': 334, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Iceland': 4, 'Italy': 2, 'Jersey': 3, 'Norway': 2, 'Oman': 4, 'Romania': 6, 'Slovenia': 4, 'Scotland': 3, 'Yugoslavia': 21}"
"Campo Grande Atlético Clube","{'Brazil': 20}"
"Club Atlas","{'Argentina': 52, 'Bolivia, Plurinational State of': 1, 'Brazil': 10, 'Chile': 14, 'Colombia': 4, 'Spain': 2, 'Hungary': 12, 'Jersey': 9, 'Mexico': 92, 'Oman': 18, 'Peru': 2, 'Poland': 2, 'Portugal': 2, 'Uruguay': 4, 'England': 3, 'America': 21, 'Yugoslavia': 3}"
"Kyoto Sanga FC","{'Japan': 90, 'Uruguay': 2}"
"New Bedford Whalers#New Bedford Whalers II","{'Canada': 3, 'United States': 6, 'England': 39, 'America': 141}"
"Serrano Football Club","{'Brazil': 16}"
"Parma F.C.","{'Albania': 6, 'China': 4, 'Cyprus': 2, 'France': 8, 'India': 2, 'Italy': 62, 'Oman': 2, 'America': 6}"
"CS Tiligul-Tiras Tiraspol","{'Luxembourg': 2, 'Moldova, Republic of': 81, 'Ukraine': 3}"
"Audax Italiano","{'Chile': 74, 'Italy': 2, 'America': 15}"
"Go Ahead Eagles","{'Austria': 2, 'Belgium': 4, 'Switzerland': 4, 'Germany': 4, 'Denmark': 2, 'France': 2, 'Hungary': 3, 'Luxembourg': 2, 'Netherlands': 96, 'Oman': 2, 'Poland': 2, 'Romania': 3, 'Slovakia': 4, 'Sweden': 2, 'England': 6, 'Scotland': 6, 'Wales': 3}"
"Gateway F.C.","{'Benin': 2, 'Cameroon': 2, 'Niger': 70, 'Nigeria': 70}"
"Real Valladolid","{'Argentina': 22, 'Brazil': 16, 'Chile': 12, 'Colombia': 4, 'Germany': 2, 'Spain': 22, 'France': 2, 'Ghana': 2, 'Croatia': 6, 'Hungary': 15, 'Israel': 6, 'Monaco': 4, 'Malta': 2, 'Portugal': 2, 'Paraguay': 2, 'Qatar': 2, 'Serbia': 2, 'Uruguay': 8, 'Yugoslavia': 3}"
"Baar","{'Switzerland': 4, 'Germany': 8, 'Estonia': 2}"
"Kansas City Wizards","{'Canada': 3, 'Ireland': 3, 'Jersey': 30, 'Portugal': 2, 'Senegal': 2, 'United States': 16, 'Zimbabwe': 2, 'England': 15, 'America': 78}"
"FC Rot-Weiß Erfurt","{'Germany': 18}"
"AC Parma","{'Albania': 6, 'China': 4, 'Cyprus': 2, 'France': 8, 'India': 2, 'Italy': 62, 'Oman': 2, 'America': 6}"
"FC Fakel Voronezh","{'Azerbaijan': 2, 'Belarus': 14, 'Lithuania': 10, 'Latvia': 10, 'Mali': 2, 'Oman': 8, 'Romania': 3, 'Serbia': 2, 'Tajikistan': 2, 'Ukraine': 3, 'Uzbekistan': 6, 'Russia': 147}"
"Deportivo Irapuato","{'Argentina': 42, 'Brazil': 6, 'Chile': 6, 'Colombia': 4, 'Costa Rica': 16, 'Ecuador': 4, 'Spain': 4, 'Honduras': 4, 'Jamaica': 6, 'Jersey': 3, 'Japan': 6, 'Mexico': 132, 'Mali': 2, 'Malta': 2, 'Oman': 6, 'Peru': 4, 'Paraguay': 10, 'Uruguay': 12, 'United States': 4, 'Zambia': 4}"
"Wealdstone F.C.","{'England': 33}"
"Chicago Fire S.C.","{'Argentina': 2, 'Belgium': 2, 'Brazil': 2, 'Canada': 3, 'Switzerland': 4, 'Colombia': 2, 'Costa Rica': 2, 'France': 6, 'Italy': 2, 'Jamaica': 3, 'Jersey': 33, 'Mexico': 6, 'Mali': 2, 'Oman': 2, 'El Salvador': 4, 'Serbia': 4, 'Chad': 2, 'Uruguay': 2, 'United States': 20, 'Saint Vincent and the Grenadines': 3, 'England': 30, 'America': 42}"
"Valencia CF Mestalla","{'Spain': 10, 'Iran, Islamic Republic of': 1, 'Singapore': 10, 'England': 3}"
"J&P Coats","{'England': 6, 'Scotland': 3, 'America': 15}"
"C.D. Ferroviarios de Chile","{'Chile': 38}"
"FC Spartak Plovdiv","{'Albania': 2, 'Armenia': 2, 'Bulgaria': 124, 'Germany': 2, 'Greece': 2, 'Iran, Islamic Republic of': 2, 'Italy': 4, 'Jersey': 3, 'Lithuania': 2, 'Netherlands': 2, 'Oman': 2, 'Portugal': 2}"
"Cromac Albion","{}"
"RC Kouba","{'Burkina Faso': 3, 'Algeria': 68}"
"VfB Stuttgart II","{'Germany': 8, 'Jordan': 2, 'Russia': 3}"
"Baník Prievidza","{'Oman': 2, 'Slovakia': 68}"
"Esporte Clube Noroeste","{'Brazil': 16, 'America': 6}"
"FC Mulhouse","{'Argentina': 2, 'Australia': 3, 'Austria': 2, 'Belgium': 2, 'Benin': 2, 'Bulgaria': 2, 'Switzerland': 2, 'Chile': 2, 'Congo': 4, 'Germany': 18, 'Denmark': 2, 'Algeria': 2, 'France': 38, 'Gabon': 2, 'Ghana': 2, 'Guinea': 2, 'Luxembourg': 2, 'Morocco': 2, 'Monaco': 4, 'Mali': 2, 'Netherlands': 2, 'Norway': 2, 'Togo': 2, 'England': 3, 'America': 6, 'Yugoslavia': 3}"
"Udinese","{'Argentina': 24, 'Austria': 2, 'Belgium': 4, 'Brazil': 18, 'Switzerland': 6, 'Chile': 6, 'Colombia': 4, 'Czechia': 3, 'Germany': 4, 'Denmark': 10, 'Egypt': 2, 'Spain': 4, 'France': 10, 'Ghana': 12, 'Greece': 2, 'Croatia': 4, 'Hungary': 36, 'Ireland': 6, 'Iraq': 2, 'Italy': 168, 'Jordan': 2, 'Morocco': 2, 'Niger': 2, 'Nigeria': 2, 'Poland': 2, 'Portugal': 2, 'Serbia': 6, 'Slovenia': 2, 'Sweden': 2, 'Samoa': 12, 'England': 3, 'Yugoslavia': 3, 'Russia': 3}"
"Esporte Clube Novo Hamburgo","{'Brazil': 58, 'America': 3}"
"Caledonian F.C.","{'Scotland': 27}"
"CD Oro","{'Brazil': 6, 'Chile': 8, 'Israel': 2, 'Mexico': 24}"
"Christchurch United","{'Australia': 6, 'Brazil': 2, 'France': 2, 'United Kingdom': 2, 'Italy': 2, 'New Zealand': 126, 'Paraguay': 2, 'Slovakia': 2, 'Samoa': 4, 'South Africa': 2, 'Scotland': 6, 'Russia': 3}"
"SVS Linz","{}"
"Atlético Bucaramanga","{'Argentina': 50, 'Bermuda': 3, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Cameroon': 2, 'Colombia': 180, 'Costa Rica': 4, 'Oman': 2, 'Panama': 4, 'Paraguay': 6, 'Romania': 3, 'Uruguay': 12, 'Venezuela, Bolivarian Republic of': 3, 'Yugoslavia': 3}"
"Viktoria Aschaffenburg","{'Germany': 26}"
"Stade Français (football)","{'France': 24, 'Jersey': 3}"
"Čechoslovan Košíře","{}"
"CSM Vulcan","{'Moldova, Republic of': 1, 'Oman': 18, 'Romania': 27}"
"B-SAD","{'Macao': 4, 'Mali': 4, 'Portugal': 68}"
"FC Singen 04","{'Switzerland': 2, 'Germany': 10}"
"AFK Lázně Bohdaneč","{'Czechia': 5, 'Slovakia': 2}"
"S.L. Benfica","{'Angola': 10, 'Australia': 3, 'Brazil': 4, 'Canada': 3, 'China': 4, 'Spain': 4, 'France': 12, 'India': 2, 'Jersey': 6, 'Mozambique': 4, 'Malaysia': 9, 'Portugal': 428, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 12}"
"FC Astana-64","{'Georgia': 6, 'Kazakhstan': 54, 'Netherlands': 2, 'Norway': 2, 'Russia': 12}"
"CR Flamengo","{'Argentina': 6, 'Brazil': 342, 'Chile': 34, 'Germany': 2, 'Ecuador': 2, 'France': 2, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Mexico': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 6, 'Peru': 2, 'Paraguay': 2, 'Qatar': 2, 'Serbia': 2, 'Uruguay': 10, 'United States': 4, 'England': 3, 'America': 216}"
"Waterford F.C.","{'Canada': 3, 'Chile': 2, 'Cyprus': 2, 'Germany': 2, 'Estonia': 2, 'France': 2, 'Hungary': 3, 'Ireland': 483, 'Jersey': 3, 'Madagascar': 2, 'Malta': 2, 'Niger': 2, 'Nigeria': 2, 'Sweden': 2, 'United States': 2, 'Saint Vincent and the Grenadines': 3, 'Samoa': 2, 'England': 45, 'Scotland': 21, 'Wales': 3, 'Northern Ireland': 21, 'Turkey': 3}"
"FC Farul Constanța","{'Albania': 2, 'Armenia': 4, 'Bulgaria': 16, 'Belarus': 6, 'Congo': 2, 'Estonia': 4, 'Finland': 4, 'France': 10, 'Greece': 2, 'India': 8, 'Kuwait': 2, 'Lebanon': 2, 'Liberia': 2, 'Moldova, Republic of': 3, 'North Macedonia': 2, 'Montenegro': 9, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 6, 'Oman': 90, 'Poland': 4, 'Romania': 129, 'Serbia': 6, 'Syrian Arab Republic': 1}"
"AFC Ajax","{'Australia': 6, 'Belgium': 10, 'Brazil': 10, 'China': 4, 'Cameroon': 2, 'Cyprus': 2, 'Denmark': 2, 'Spain': 4, 'France': 8, 'Georgia': 3, 'Ghana': 2, 'Greece': 4, 'Hungary': 3, 'Israel': 8, 'Jordan': 6, 'Japan': 6, 'Netherlands': 334, 'Oman': 2, 'Portugal': 4, 'Romania': 3, 'Slovakia': 2, 'United States': 4, 'South Africa': 8, 'England': 9, 'America': 6, 'Yugoslavia': 3}"
"CD Ciempozuelos","{'Spain': 10}"
"GIF Sundsvall","{'Finland': 2, 'Ireland': 3, 'Norway': 6, 'Sweden': 30, 'England': 6}"
"Manurewa AFC","{'Jersey': 3, 'New Zealand': 63}"
"San Lorenzo de Almagro","{'Argentina': 198, 'Bolivia, Plurinational State of': 1, 'Brazil': 6, 'Chile': 2, 'Colombia': 4, 'Spain': 24, 'Hungary': 6, 'Ireland': 3, 'Iran, Islamic Republic of': 1, 'Morocco': 2, 'Peru': 2, 'Portugal': 14, 'Paraguay': 8, 'Uruguay': 12, 'United States': 2, 'America': 33, 'Yugoslavia': 3}"
"Real Murcia","{'Spain': 10, 'Iran, Islamic Republic of': 2}"
"Rail Douala","{}"
"OFC Spartak Pleven","{'Bulgaria': 146, 'Switzerland': 2, 'Germany': 4, 'Poland': 2, 'Slovakia': 2, 'Sweden': 2}"
"Törekvés SE","{'Hungary': 12}"
"SE Palmeiras","{'United Arab Emirates': 3, 'Argentina': 10, 'Antarctica': 3, 'Austria': 6, 'Brazil': 230, 'China': 6, 'Colombia': 6, 'Germany': 2, 'Spain': 2, 'France': 4, 'Greece': 2, 'Italy': 12, 'Jersey': 24, 'Japan': 6, 'Mexico': 4, 'Mali': 4, 'Oman': 4, 'Portugal': 4, 'Paraguay': 4, 'Qatar': 6, 'Uruguay': 16, 'United States': 2, 'Viet Nam': 1, 'England': 3, 'America': 69, 'Yugoslavia': 3, 'Russia': 6}"
"Club León","{'Argentina': 34, 'Belgium': 4, 'Bulgaria': 4, 'Brazil': 8, 'Canada': 6, 'Chile': 18, 'Germany': 8, 'Ecuador': 2, 'Spain': 4, 'France': 4, 'Ghana': 2, 'Hungary': 12, 'Jersey': 9, 'Morocco': 4, 'Mexico': 136, 'Peru': 4, 'Portugal': 2, 'Paraguay': 2, 'Uruguay': 14, 'England': 6, 'America': 18, 'Russia': 3}"
"Los Angeles Salsa","{'Armenia': 2, 'Brazil': 2, 'Chile': 4, 'Cameroon': 6, 'Korea, Republic of': 2, 'Mexico': 10, 'El Salvador': 4, 'Uruguay': 2, 'United States': 2, 'America': 42, 'South Korea': 6}"
"Chennaiyin FC","{'Brazil': 2, 'India': 388, 'Italy': 2, 'Jersey': 6, 'Jordan': 4, 'Sri Lanka': 2, 'Nepal': 2, 'Oman': 2, 'Saudi Arabia': 2, 'Sweden': 2, 'Thailand': 8}"
"FC Gütersloh 2000","{'Germany': 8}"
"UD Las Palmas Atlético","{'Spain': 4}"
"FC Carl Zeiss Jena","{'Germany': 34, 'United States': 2, 'Wales': 9, 'America': 3, 'Russia': 3}"
"Resistencia S.C.","{'Paraguay': 34}"
"FC Eindhoven","{'Belgium': 4, 'Hungary': 3, 'Netherlands': 64, 'England': 3}"
"Toronto FC","{'Brazil': 4, 'Canada': 78, 'Chile': 6, 'Spain': 2, 'Honduras': 2, 'Italy': 6, 'Jersey': 27, 'Jordan': 2, 'Japan': 3, 'Mexico': 26, 'Nicaragua': 2, 'Netherlands': 2, 'New Zealand': 3, 'Oman': 4, 'Panama': 6, 'Puerto Rico': 21, 'Saudi Arabia': 2, 'El Salvador': 2, 'Chad': 6, 'United States': 30, 'England': 21, 'Scotland': 6, 'America': 78}"
"Estudiantes de Mérida F.C.","{'Brazil': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 15, 'America': 9}"
"FC Martigues","{'France': 10}"
"CA Paris-Charenton","{'France': 14}"
"CFR Cluj","{'Angola': 4, 'Argentina': 12, 'Armenia': 2, 'Austria': 6, 'Burkina Faso': 12, 'Bosnia and Herzegovina': 8, 'Bolivia, Plurinational State of': 2, 'Brazil': 24, 'Canada': 6, 'Cuba': 4, 'Cyprus': 2, 'Czechia': 1, 'Germany': 2, 'Algeria': 4, 'Spain': 8, 'France': 12, 'Georgia': 6, 'Ghana': 8, 'Greece': 8, 'Croatia': 16, 'Hungary': 21, 'Iceland': 4, 'Italy': 16, 'Lithuania': 8, 'Luxembourg': 2, 'Moldova, Republic of': 2, 'Niger': 6, 'Nigeria': 6, 'Oman': 336, 'Portugal': 36, 'Romania': 474, 'Senegal': 6, 'Serbia': 8, 'Sweden': 4, 'Tunisia': 4, 'Ukraine': 6, 'Uruguay': 8, 'Venezuela, Bolivarian Republic of': 2, 'England': 3, 'America': 3}"
"Grazer AK","{'Austria': 202, 'Chile': 2, 'Germany': 6, 'Denmark': 2, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Monaco': 2, 'Netherlands': 2, 'Slovakia': 4, 'Slovenia': 6, 'Yugoslavia': 12}"
"Deportivo Pasto","{'Argentina': 4, 'Colombia': 116, 'Israel': 2, 'Paraguay': 2, 'Uruguay': 2, 'America': 18}"
"Kidderminster Harriers F.C.","{'United Kingdom': 4, 'England': 45, 'Wales': 3}"
"C.D. Platense","{'Argentina': 10, 'Belize': 12, 'Colombia': 2, 'Costa Rica': 4, 'Guatemala': 12, 'Honduras': 118, 'El Salvador': 2}"
"Palestino","{'Argentina': 36, 'Brazil': 4, 'Chile': 210, 'Hungary': 3, 'Israel': 4, 'Jersey': 3, 'Oman': 2, 'Peru': 2, 'Paraguay': 2, 'El Salvador': 4, 'Thailand': 2, 'Uruguay': 8, 'England': 3, 'America': 27, 'Yugoslavia': 3}"
"Jasper United","{'Niger': 18, 'Nigeria': 18}"
"Sociedad Deportivo Quito","{'Argentina': 14, 'Ecuador': 94, 'Spain': 2, 'Mexico': 2}"
"ASPV Strasbourg","{'France': 38}"
"SV Cuxhaven","{}"
