"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"CD Cobeña","{'Cameroon': 2, 'Spain': 16, 'Guinea': 2, 'Equatorial Guinea': 2, 'Italy': 2, 'Niger': 2, 'Nigeria': 2, 'Uruguay': 2}"
"Medskogsbrons BK","{}"
"South Coast United SC","{'Australia': 42, 'Croatia': 42, 'Serbia': 6, 'Wales': 6}"
"Montreal Olympique","{'Argentina': 2, 'Bermuda': 3, 'Brazil': 2, 'Canada': 6, 'Germany': 2, 'Spain': 2, 'Israel': 2, 'Italy': 12, 'Jersey': 15, 'Korea, Republic of': 2, 'United States': 2, 'England': 21, 'Scotland': 15, 'America': 54, 'South Korea': 6}"
"Celta de Vigo","{'Andorra': 4, 'Argentina': 12, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Chile': 10, 'Colombia': 2, 'Cyprus': 2, 'Denmark': 6, 'Algeria': 2, 'Ecuador': 2, 'Egypt': 2, 'Spain': 100, 'Gabon': 2, 'Ghana': 8, 'Guadeloupe': 3, 'Greece': 2, 'Honduras': 2, 'Croatia': 2, 'Iran, Islamic Republic of': 4, 'Israel': 2, 'Korea, Republic of': 1, 'Latvia': 2, 'Morocco': 2, 'Mexico': 4, 'Montenegro': 6, 'Norway': 4, 'Oman': 2, 'Peru': 4, 'Portugal': 2, 'Paraguay': 2, 'Romania': 3, 'Serbia': 6, 'Slovakia': 4, 'Sweden': 4, 'Uruguay': 6, 'Venezuela, Bolivarian Republic of': 1, 'South Africa': 2, 'England': 3, 'Yugoslavia': 6, 'South Korea': 3, 'Turkey': 6}"
"Oswestry Town F.C.","{'England': 3, 'Wales': 3}"
"Heartland F.C.","{'Benin': 2, 'Brazil': 2, 'Algeria': 6, 'Gabon': 4, 'Ghana': 6, 'Guinea': 2, 'Equatorial Guinea': 2, 'Niger': 178, 'Nigeria': 178, 'Tunisia': 2, 'Uganda': 2, 'Zambia': 2}"
"FC Lausanne-Sport","{'Switzerland': 10, 'France': 4}"
"Diyarbakırspor","{'China': 2, 'Turkey': 9}"
"Čechie Karlín","{'Czechia': 2, 'Slovakia': 4}"
"GC Mascara","{'Algeria': 38}"
"C.F. União de Lamas","{'Spain': 2, 'Portugal': 22}"
"A.C. Lumezzane","{'Angola': 4, 'Italy': 4, 'Oman': 2}"
"HNK Rijeka","{'Austria': 8, 'Bosnia and Herzegovina': 6, 'Brazil': 2, 'Switzerland': 4, 'Germany': 4, 'Croatia': 256, 'Hungary': 12, 'Iran, Islamic Republic of': 2, 'Italy': 26, 'Montenegro': 9, 'Oman': 4, 'Portugal': 2, 'Serbia': 2, 'Slovenia': 2, 'Yugoslavia': 132}"
"Erzurumspor","{'Turkey': 15}"
"Stade Rennais","{'Austria': 2, 'Belgium': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 6, 'Switzerland': 4, 'Cameroon': 2, 'Colombia': 2, 'Czechia': 1, 'Algeria': 8, 'Spain': 2, 'France': 180, 'Ghana': 2, 'Israel': 2, 'Jordan': 2, 'Morocco': 2, 'Mali': 2, 'Mozambique': 2, 'Niger': 2, 'Nigeria': 2, 'Poland': 2, 'Senegal': 12, 'Serbia': 2, 'Slovakia': 2, 'Sweden': 6, 'Tunisia': 2, 'Samoa': 2, 'America': 3}"
"C.D. Águila","{'Argentina': 6, 'Brazil': 4, 'Chile': 6, 'Costa Rica': 2, 'Guatemala': 4, 'Honduras': 8, 'Iran, Islamic Republic of': 4, 'El Salvador': 102, 'Serbia': 4, 'Sweden': 2, 'Chad': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 12}"
"Lisburn Distillery F.C.","{'Spain': 2, 'Finland': 2, 'Georgia': 3, 'Ireland': 36, 'Lithuania': 2, 'Portugal': 2, 'Northern Ireland': 30}"
"Sporting Benevento","{'Argentina': 2, 'France': 4, 'Italy': 62}"
"Olympique Charleroi","{'Belgium': 14, 'Oman': 2}"
"Clube Atlético Sorocaba","{'Brazil': 14, 'America': 3}"
"Hadsund BK","{'Denmark': 10}"
"Qadsia SC","{'Bahrain': 10, 'Bosnia and Herzegovina': 4, 'Brazil': 4, 'Denmark': 2, 'Algeria': 2, 'Egypt': 6, 'Spain': 4, 'Croatia': 4, 'Indonesia': 6, 'India': 4, 'Iraq': 2, 'Italy': 2, 'Jordan': 4, 'Kuwait': 230, 'Lebanon': 4, 'Moldova, Republic of': 1, 'Mali': 2, 'Malaysia': 3, 'Netherlands': 4, 'Oman': 4, 'Portugal': 2, 'Serbia': 4, 'Syrian Arab Republic': 1, 'Tajikistan': 2, 'Turkmenistan': 3, 'Viet Nam': 1, 'England': 9, 'Scotland': 3, 'Yugoslavia': 15}"
"Bergantiños FC","{'Spain': 16}"
"Elche CF Ilicitano","{'Spain': 8, 'England': 3}"
"S.S.C. Venezia","{'France': 26, 'Iran, Islamic Republic of': 2, 'Italy': 34, 'Peru': 8, 'Senegal': 2, 'America': 12}"
"Afyonkarahisarspor","{'Turkey': 9}"
"Maryland Bays","{'America': 54}"
"FC Lorient#Reserve squad","{'Argentina': 2, 'Australia': 3, 'France': 30, 'Mali': 6, 'Slovakia': 2, 'Turkey': 3}"
"San Diego Toros","{'United States': 2, 'America': 63}"
"SS Lazio","{'Bulgaria': 4, 'China': 6, 'France': 4, 'United Kingdom': 2, 'Greece': 4, 'Italy': 40, 'Jersey': 3, 'Japan': 3, 'Mali': 2, 'Malta': 2, 'Oman': 6, 'Peru': 4}"
"C.S.D. Municipal","{'Argentina': 46, 'Armenia': 4, 'Brazil': 2, 'Chile': 6, 'Costa Rica': 16, 'Cuba': 12, 'Czechia': 1, 'Ecuador': 2, 'Spain': 2, 'Grenada': 3, 'Guatemala': 142, 'Guam': 3, 'Honduras': 4, 'Hungary': 3, 'Mexico': 8, 'Panama': 6, 'Peru': 2, 'Portugal': 2, 'Paraguay': 14, 'El Salvador': 8, 'Uruguay': 28, 'America': 15}"
"A.C. Parma","{'Albania': 6, 'China': 4, 'Cyprus': 2, 'France': 8, 'India': 2, 'Italy': 62, 'Oman': 2, 'America': 6}"
"HFC Haarlem","{'Netherlands': 10}"
"Rosenborg BK","{'Azerbaijan': 2, 'Belgium': 2, 'Hungary': 3, 'Ireland': 3, 'Israel': 2, 'Netherlands': 2, 'Norway': 204, 'Peru': 2, 'Sweden': 8, 'England': 9, 'Northern Ireland': 3}"
"FK Viktoria Žižkov","{'Austria': 4, 'Czechia': 5, 'Denmark': 2, 'Spain': 2, 'Hungary': 3, 'Kazakhstan': 2, 'Oman': 6, 'San Marino': 2, 'Slovakia': 4, 'Sweden': 2, 'England': 3, 'Scotland': 3}"
"Tianjin Quanjian F.C.","{'Belgium': 6, 'Brazil': 10, 'China': 104, 'Estonia': 4, 'Hong Kong': 8, 'Croatia': 4, 'Korea, Republic of': 2, 'Mongolia': 3, 'Slovenia': 4, 'America': 3, 'South Korea': 6}"
"San Jose Earthquakes (NASL)","{'Canada': 3, 'United States': 2, 'England': 15, 'Scotland': 3, 'America': 81, 'Yugoslavia': 12}"
"FCM Reşiţa","{'Mali': 12, 'Oman': 56, 'Romania': 63}"
"Club de Deportes Santiago Morning","{'Argentina': 10, 'Chile': 156, 'Spain': 2, 'Uruguay': 2}"
"Atlético Madrid B","{'Albania': 2, 'Andorra': 2, 'Argentina': 4, 'Brazil': 4, 'Chile': 2, 'China': 2, 'Cameroon': 6, 'Congo': 3, 'Dominica': 2, 'Dominican Republic': 3, 'Spain': 142, 'France': 4, 'Ghana': 4, 'Guinea': 6, 'Equatorial Guinea': 4, 'Haiti': 2, 'Morocco': 2, 'Philippines': 2, 'Portugal': 4, 'Paraguay': 4, 'Senegal': 4, 'Serbia': 6, 'Chad': 2, 'Tunisia': 2, 'Uruguay': 4, 'South Africa': 2}"
"Berchem Sport","{'Belgium': 58, 'Finland': 2, 'Netherlands': 2}"
"AC Milan","{'Austria': 2, 'Brazil': 2, 'Switzerland': 2, 'Colombia': 6, 'Germany': 4, 'Egypt': 2, 'Spain': 2, 'France': 6, 'Iran, Islamic Republic of': 4, 'Italy': 54, 'Jersey': 15, 'Luxembourg': 6, 'Mali': 2, 'Netherlands': 2, 'Oman': 2, 'Peru': 14, 'Romania': 3, 'Sweden': 6, 'United States': 2, 'America': 9}"
"Black Stars Basel","{'Switzerland': 12}"
"Bolton Wanderers F.C.","{'Egypt': 6, 'United Kingdom': 4, 'Guinea': 2, 'Iraq': 2, 'Italy': 2, 'England': 33}"
"C.F. Pachuca","{'Argentina': 14, 'Brazil': 2, 'Chile': 6, 'Colombia': 2, 'Ecuador': 2, 'United Kingdom': 2, 'Israel': 4, 'Jersey': 9, 'Mexico': 42, 'Puerto Rico': 3, 'Paraguay': 4, 'Tunisia': 2, 'United States': 4, 'Venezuela, Bolivarian Republic of': 1, 'America': 84}"
"Győri ETO FC","{'Bulgaria': 6, 'Spain': 4, 'Hungary': 69}"
"Real Betis","{'Argentina': 12, 'Bosnia and Herzegovina': 2, 'Brazil': 2, 'Chile': 2, 'Spain': 210, 'France': 6, 'Croatia': 2, 'Hungary': 6, 'Ireland': 3, 'Iran, Islamic Republic of': 3, 'Jersey': 3, 'Monaco': 4, 'Malta': 6, 'Netherlands': 2, 'Oman': 8, 'Portugal': 2, 'Paraguay': 2, 'Romania': 3, 'Slovakia': 4, 'Chad': 2, 'Uruguay': 4, 'England': 9, 'Scotland': 12}"
"U.C. Sampdoria","{'Brazil': 2, 'France': 6, 'Iran, Islamic Republic of': 2, 'Italy': 26, 'Jersey': 9, 'Serbia': 2}"
"Farbenlutz","{}"
"Tulsa Roughnecks (1978-84)","{'Brazil': 2, 'Canada': 15, 'Germany': 4, 'Denmark': 2, 'Ireland': 15, 'Iran, Islamic Republic of': 1, 'Iceland': 2, 'Italy': 2, 'Jersey': 9, 'Niger': 2, 'Nigeria': 2, 'Poland': 2, 'United States': 2, 'England': 36, 'Wales': 9, 'Northern Ireland': 12, 'America': 51}"
"FC Nordstern Basel","{'Switzerland': 14}"
"Glenavon F.C.","{'Belgium': 2, 'Belarus': 2, 'Germany': 4, 'Denmark': 6, 'Finland': 2, 'France': 2, 'Ireland': 210, 'Iceland': 6, 'Luxembourg': 2, 'Malta': 4, 'Netherlands': 2, 'Norway': 2, 'England': 3, 'Scotland': 6, 'Northern Ireland': 186}"
"Huddersfield Town A.F.C.","{'Australia': 15, 'Benin': 6, 'Bermuda': 9, 'Canada': 12, 'Congo': 6, 'Denmark': 6, 'Egypt': 6, 'United Kingdom': 2, 'Greece': 2, 'Ireland': 96, 'Jamaica': 15, 'Jersey': 3, 'Jordan': 8, 'Japan': 9, 'Luxembourg': 6, 'Montserrat': 9, 'Netherlands': 6, 'Norway': 2, 'Singapore': 2, 'Slovakia': 2, 'Uganda': 6, 'United States': 6, 'England': 66, 'Scotland': 51, 'Wales': 51, 'Northern Ireland': 48, 'America': 12}"
"Adelaide City FC","{'Australia': 300, 'France': 2, 'Croatia': 14, 'New Zealand': 3, 'Oman': 2, 'Serbia': 2}"
"III. Kerületi TVE","{'Hungary': 12}"
"Granada CF","{'Argentina': 6, 'Brazil': 2, 'China': 2, 'Spain': 110, 'France': 2, 'Hungary': 12, 'Portugal': 2, 'Paraguay': 2, 'Serbia': 2, 'Uruguay': 2, 'England': 3}"
"Ulsan Hyundai FC","{'Greenland': 3, 'Korea, Republic of': 15, 'South Korea': 45}"
"Yokohama F. Marinos","{'Argentina': 20, 'Australia': 6, 'Bolivia, Plurinational State of': 1, 'China': 4, 'Spain': 4, 'France': 4, 'Croatia': 4, 'Jersey': 3, 'Japan': 222, 'Korea, Republic of': 1, 'Malaysia': 3, 'Portugal': 2, 'Serbia': 2, 'Chad': 4, 'Thailand': 2, 'Uruguay': 2, 'South Korea': 3}"
"FC Modena","{'Brazil': 2, 'Italy': 12, 'Oman': 2, 'Peru': 4}"
"Debreceni VSC","{'Bosnia and Herzegovina': 4, 'Switzerland': 2, 'Cameroon': 6, 'Denmark': 2, 'Estonia': 2, 'France': 4, 'Gabon': 2, 'Georgia': 3, 'Honduras': 2, 'Croatia': 8, 'Hungary': 93, 'Ireland': 3, 'Iran, Islamic Republic of': 1, 'Korea, Republic of': 1, 'Lithuania': 2, 'Mali': 2, 'Montenegro': 6, 'Niger': 2, 'Nigeria': 2, 'Oman': 16, 'Romania': 15, 'Senegal': 2, 'Serbia': 8, 'Slovakia': 2, 'Slovenia': 6, 'Ukraine': 3, 'Venezuela, Bolivarian Republic of': 1, 'Northern Ireland': 3, 'South Korea': 3}"
"Hellas Verona FC","{'Australia': 9, 'Denmark': 6, 'France': 12, 'Greece': 2, 'Italy': 38, 'Jersey': 3, 'Korea, Republic of': 3, 'Mexico': 4, 'Oman': 2, 'Serbia': 6, 'South Korea': 9}"
"Atlético Huila","{'Argentina': 10, 'Bolivia, Plurinational State of': 1, 'Colombia': 102, 'Ecuador': 6, 'Guinea': 2, 'Equatorial Guinea': 2, 'Lebanon': 2, 'Panama': 8, 'Venezuela, Bolivarian Republic of': 1, 'America': 12}"
"SK Sturm Graz","{'Andorra': 2, 'Austria': 178, 'Belgium': 4, 'Bulgaria': 4, 'Bosnia and Herzegovina': 4, 'Belarus': 4, 'Switzerland': 10, 'Cyprus': 4, 'Czechia': 2, 'Germany': 20, 'Spain': 6, 'Finland': 2, 'France': 6, 'Georgia': 6, 'Greece': 8, 'Croatia': 12, 'Hungary': 24, 'Iceland': 2, 'Israel': 4, 'Italy': 10, 'Monaco': 12, 'Montenegro': 6, 'Netherlands': 8, 'Norway': 2, 'Oman': 6, 'Romania': 6, 'Serbia': 2, 'Slovakia': 2, 'Slovenia': 6, 'Ukraine': 6, 'England': 15, 'Scotland': 6, 'Turkey': 9}"
"L.D.U. Loja","{'Argentina': 2, 'Ecuador': 52, 'America': 3}"
"SV Waldhof Mannheim","{'Germany': 6}"
"Bidvest Wits F.C.","{'Spain': 2, 'South Africa': 82, 'Zimbabwe': 2, 'England': 18, 'Scotland': 18}"
"VfL Bochum II","{'Germany': 4, 'Oman': 2}"
"US Foggia","{'Benin': 6, 'China': 4, 'France': 6, 'Italy': 28, 'Oman': 14, 'Wales': 6}"
"Real Sociedad B","{'Spain': 12, 'Iran, Islamic Republic of': 2, 'Peru': 2, 'England': 3}"
"New York Cosmos (1971-1985)","{'Argentina': 2, 'Australia': 57, 'Bermuda': 6, 'Brazil': 38, 'Canada': 12, 'China': 44, 'Germany': 10, 'United Kingdom': 2, 'Greece': 14, 'Hong Kong': 18, 'Indonesia': 20, 'Italy': 24, 'Jersey': 75, 'Japan': 30, 'Korea, Republic of': 23, 'Lithuania': 2, 'Malaysia': 12, 'Netherlands': 2, 'Peru': 2, 'Singapore': 12, 'United States': 30, 'South Africa': 4, 'England': 6, 'Scotland': 3, 'America': 240, 'Yugoslavia': 9, 'South Korea': 69, 'Turkey': 3}"
"Alibeyköy S.K.","{'Turkey': 6}"
"Olympique de Marseille","{'Armenia': 2, 'Brazil': 2, 'France': 128, 'Italy': 2, 'Jordan': 4, 'Morocco': 2, 'Monaco': 12, 'Tunisia': 2, 'America': 9}"
"MEDOSZ Marcali","{}"
"Rionegro Águilas","{'Argentina': 4, 'Colombia': 122, 'Costa Rica': 4, 'France': 4, 'Guinea': 2, 'Equatorial Guinea': 2, 'Peru': 2, 'Paraguay': 2, 'Venezuela, Bolivarian Republic of': 4, 'America': 3}"
"ND Gorica","{'Albania': 2, 'Armenia': 2, 'Azerbaijan': 4, 'Belgium': 2, 'Bulgaria': 2, 'Denmark': 4, 'Estonia': 2, 'Finland': 2, 'France': 2, 'Greece': 4, 'Croatia': 4, 'Ireland': 3, 'Iran, Islamic Republic of': 4, 'Israel': 2, 'Italy': 6, 'Monaco': 4, 'Malta': 2, 'Norway': 2, 'Oman': 6, 'Romania': 9, 'Slovenia': 302, 'Wales': 3, 'Northern Ireland': 3, 'Yugoslavia': 6}"
"Athletic Bilbao B","{'Angola': 2, 'Andorra': 2, 'Spain': 234, 'France': 2, 'Ghana': 2, 'Venezuela, Bolivarian Republic of': 2, 'England': 3}"
"Envigado Fútbol Club","{'Colombia': 62, 'Spain': 2, 'Peru': 2, 'Uruguay': 2, 'United States': 4, 'America': 6}"
"AEK Athens FC","{'Australia': 3, 'Austria': 10, 'Belgium': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 6, 'Colombia': 2, 'Cyprus': 8, 'Germany': 2, 'Spain': 2, 'France': 2, 'United Kingdom': 2, 'Georgia': 3, 'Greece': 180, 'Croatia': 4, 'Iceland': 4, 'Jersey': 6, "Lao People's Democratic Republic": 2, 'Monaco': 4, 'Mali': 2, 'Oman': 2, 'Portugal': 4, 'Serbia': 6, 'Slovakia': 2, 'Uruguay': 2, 'England': 9, 'Scotland': 3, 'Yugoslavia': 9, 'Turkey': 3}"
"AFC DWS","{'Netherlands': 10}"
"NK Čelik Zenica","{'Bosnia and Herzegovina': 184, 'Italy': 2, 'Yugoslavia': 6}"
"BSC Young Boys","{'Armenia': 2, 'Austria': 6, 'Bosnia and Herzegovina': 4, 'Switzerland': 68, 'Germany': 14, 'Spain': 2, 'France': 2, 'Hungary': 12, 'Ireland': 9, 'Italy': 8, 'Jordan': 2, 'Niger': 2, 'Netherlands': 4, 'Poland': 2, 'Slovakia': 2, 'Sweden': 8, 'England': 9, 'America': 6}"
"C.D. Olimpia","{'Argentina': 18, 'Belize': 27, 'Brazil': 6, 'Canada': 6, 'Chile': 8, 'Colombia': 6, 'Costa Rica': 62, 'Cuba': 2, 'Guatemala': 48, 'Honduras': 152, 'Croatia': 2, 'Mexico': 32, 'Mali': 4, 'Nicaragua': 6, 'Netherlands': 2, 'Panama': 12, 'Paraguay': 2, 'El Salvador': 26, 'Suriname': 4, 'Trinidad and Tobago': 8, 'Uruguay': 24, 'United States': 10, 'America': 24}"
"North Eastern MetroStars FC","{'Australia': 63, 'France': 4, 'Jersey': 3, 'Wales': 3}"
"Club Jorge Wilstermann","{'Argentina': 34, 'Belgium': 2, 'Bolivia, Plurinational State of': 55, 'Brazil': 4, 'Chile': 8, 'Colombia': 8, 'Spain': 2, 'Portugal': 2, 'Chad': 4, 'Uruguay': 4, 'America': 15}"
"Al-Qadisiyah FC","{'United Arab Emirates': 3, 'Bahrain': 4, 'China': 12, 'Algeria': 2, 'Hong Kong': 2, 'Iraq': 2, 'Morocco': 2, 'Qatar': 4, 'Saudi Arabia': 30, 'Sudan': 4}"
"Augnablik Kópavogur","{'Iceland': 24}"
"Asante Kotoko SC","{'Belgium': 2, 'Cameroon': 2, 'Germany': 6, 'Egypt': 6, 'United Kingdom': 4, 'Ghana': 326, 'Croatia': 2, 'Hungary': 3, 'Jersey': 3, 'Jordan': 8, 'Mali': 18, 'Norway': 2, 'Singapore': 12, 'Serbia': 2, 'Samoa': 6, 'Turkey': 3}"
"Nîmes Olympique","{'Argentina': 2, 'Austria': 2, 'Belgium': 2, 'Benin': 2, 'Burkina Faso': 3, 'Bosnia and Herzegovina': 2, 'Central African Republic': 3, 'Cameroon': 2, 'Congo': 5, 'Comoros': 2, 'Cuba': 4, 'Denmark': 2, 'Algeria': 2, 'France': 14, 'Gabon': 2, 'Ghana': 2, 'Greece': 2, 'Croatia': 2, 'Hungary': 3, 'Ireland': 3, 'Jordan': 2, 'Liberia': 2, 'Morocco': 2, 'Mali': 2, 'Mauritania': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 2, 'Norway': 2, 'Oman': 2, 'Poland': 2, 'Paraguay': 2, 'Romania': 3, 'Senegal': 2, 'Serbia': 2, 'Slovakia': 4, 'Sweden': 2, 'Togo': 2, 'Scotland': 3, 'Yugoslavia': 3}"
"Associação Atlética Portuguesa Santista","{'Angola': 4, 'Brazil': 32, 'Mozambique': 2, 'Portugal': 10, 'Chad': 2, 'South Africa': 6, 'America': 3}"
"Associação Atlética Internacional (Limeira)","{'Brazil': 32, 'Germany': 2, 'Italy': 2, 'Japan': 3, 'Portugal': 2, 'America': 12}"
"FC Vilnius","{'Lithuania': 20, 'Poland': 2}"
"Waasland-Beveren","{'Belgium': 36, 'Bosnia and Herzegovina': 2, 'Spain': 2, 'France': 2, 'Mali': 2, 'America': 3}"
"Blackburn Rovers F.C.","{'Australia': 3, 'Austria': 2, 'Belgium': 2, 'Bulgaria': 2, 'Switzerland': 2, 'Germany': 2, 'Finland': 2, 'France': 6, 'Greece': 2, 'India': 4, 'Ireland': 15, 'Jersey': 12, 'Jordan': 6, 'Lithuania': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 2, 'Norway': 2, 'Poland': 4, 'Paraguay': 2, 'Sweden': 4, 'South Africa': 4, 'England': 114, 'Scotland': 27, 'Wales': 3, 'Northern Ireland': 3, 'Turkey': 6}"
"Vittjärvs IK","{'Sweden': 20}"
"Vanløse IF","{'Denmark': 4}"
"Associação Atlética Ponte Preta","{'Brazil': 138, 'Iran, Islamic Republic of': 1, 'Norway': 4, 'Chad': 2, 'America': 27}"
"S.S. Scafatese Calcio 1922","{'Italy': 12}"
"Gaziantepspor","{'Belgium': 2, 'Belarus': 2, 'Spain': 2, 'Estonia': 2, 'France': 2, 'Hungary': 3, 'Israel': 4, 'Italy': 4, 'Moldova, Republic of': 1, 'Netherlands': 2, 'Poland': 2, 'Portugal': 2, 'America': 3, 'Turkey': 48}"
"Alanyaspor","{'Czechia': 1, 'Jersey': 3, 'Oman': 2, 'Turkey': 9}"
"América Football Club (RJ)","{'Argentina': 2, 'Brazil': 64, 'Iran, Islamic Republic of': 2, 'Peru': 2, 'Chad': 4, 'America': 216}"
"CD Tenerife","{'Argentina': 32, 'Australia': 3, 'Austria': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 8, 'Chile': 2, 'Cameroon': 2, 'Colombia': 4, 'Czechia': 1, 'Germany': 12, 'Denmark': 4, 'Spain': 154, 'France': 2, 'Georgia': 3, 'Ghana': 2, 'Guinea': 4, 'Equatorial Guinea': 2, 'Greece': 2, 'Honduras': 12, 'Haiti': 2, 'Israel': 4, 'Italy': 6, 'Japan': 3, 'Morocco': 2, 'Mexico': 2, 'Montenegro': 3, 'Martinique': 3, 'Netherlands': 6, 'Panama': 2, 'Peru': 4, 'Poland': 2, 'Portugal': 6, 'Paraguay': 8, 'Senegal': 4, 'Serbia': 12, 'Slovakia': 4, 'Sweden': 2, 'Chad': 2, 'Tunisia': 2, 'Tanzania, United Republic of': 1, 'Uruguay': 8, 'United States': 2, 'Venezuela, Bolivarian Republic of': 5, 'South Africa': 4}"
"Törekvés SE","{'Hungary': 12}"
"A.C. Siena","{'Armenia': 4, 'France': 6, 'Italy': 22, 'Jersey': 3, 'Oman': 4}"
"Central Coast Mariners FC","{'Argentina': 2, 'Australia': 318, 'Brazil': 8, 'China': 2, 'Costa Rica': 6, 'France': 2, 'Hong Kong': 2, 'Hungary': 6, 'Jersey': 6, 'Japan': 3, 'Korea, Republic of': 1, 'Mali': 2, 'Malta': 6, 'Netherlands': 4, 'New Zealand': 21, 'Portugal': 2, 'Senegal': 2, 'Vanuatu': 2, 'England': 6, 'Wales': 30, 'South Korea': 3}"
"Sevilla FC","{'Argentina': 18, 'Austria': 8, 'Brazil': 16, 'Chile': 2, 'Germany': 8, 'Spain': 254, 'France': 10, 'United Kingdom': 2, 'Georgia': 3, 'Gambia': 4, 'Greece': 2, 'Croatia': 4, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Italy': 2, 'Monaco': 4, 'Mali': 4, 'Malaysia': 3, 'Puerto Rico': 18, 'Portugal': 2, 'Paraguay': 2, 'Uruguay': 6, 'England': 3, 'Scotland': 3, 'America': 6, 'Turkey': 3}"
"Halmstads BK","{'Argentina': 4, 'Austria': 2, 'Bulgaria': 2, 'Brazil': 4, 'Germany': 4, 'Spain': 2, 'France': 2, 'Ghana': 6, 'Ireland': 12, 'Iceland': 2, 'Lithuania': 6, 'Portugal': 4, 'Slovakia': 4, 'Sweden': 58, 'Syrian Arab Republic': 1, 'England': 3, 'Northern Ireland': 12}"
"US Boulogne","{'France': 60, 'Oman': 2}"
"Bocskai FC","{'Hungary': 12}"
"FK BASK","{'Albania': 2, 'Austria': 2, 'Hungary': 3, 'Montenegro': 6, 'Oman': 4, 'Romania': 6, 'Serbia': 100, 'Slovenia': 2, 'Uruguay': 2, 'Yugoslavia': 93}"
"Lobos BUAP","{'Brazil': 2, 'Jersey': 6, 'Mexico': 12}"
"FC Luzern","{'Argentina': 2, 'Austria': 14, 'Belgium': 2, 'Bulgaria': 2, 'Switzerland': 92, 'Chile': 2, 'Czechia': 1, 'Germany': 28, 'Hungary': 21, 'Italy': 4, 'Netherlands': 8, 'Oman': 4, 'Poland': 4, 'Chad': 2, 'Scotland': 3, 'Wales': 3, 'Yugoslavia': 6}"
"ASV Hohenau","{}"
"Clubul Atletic Oradea","{'Austria': 6, 'Switzerland': 4, 'Chile': 4, 'France': 8, 'Hungary': 72, 'Oman': 172, 'Romania': 240, 'England': 3, 'Yugoslavia': 6}"
"Amiens SC","{'Angola': 2, 'Argentina': 2, 'Congo': 6, 'Denmark': 2, 'Algeria': 2, 'France': 130, 'Oman': 2, 'Senegal': 2, 'Slovenia': 2, 'Togo': 2, 'Tunisia': 2}"
"AS Nancy","{'Argentina': 2, 'Brazil': 2, 'Comoros': 2, 'France': 113, 'Ireland': 3, 'Morocco': 6, 'Poland': 2, 'Senegal': 4, 'Ukraine': 3, 'Uruguay': 4, 'America': 3}"
"K.S.V. Waregem","{'Belgium': 10}"
"Boca Juniors","{'Argentina': 104, 'Brazil': 2, 'Chile': 2, 'Germany': 2, 'Egypt': 2, 'Spain': 14, 'France': 2, 'Iran, Islamic Republic of': 4, 'Israel': 4, 'Italy': 2, 'Jersey': 30, 'Japan': 9, 'Oman': 4, 'Peru': 2, 'Portugal': 2, 'Qatar': 4, 'Sweden': 2, 'Chad': 4, 'Ukraine': 3, 'Uruguay': 12, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 6, 'America': 90}"
"Quick Boys","{'Netherlands': 8}"
"Bali United F.C.","{'Brazil': 8, 'Cameroon': 4, 'Indonesia': 286, 'Jersey': 36, 'Netherlands': 4, 'Oman': 18, 'Serbia': 2, 'Thailand': 2}"
"VfL Wolfsburg","{'Brazil': 2, 'Germany': 14, 'Jersey': 3, 'Peru': 4, 'England': 6, 'America': 3}"
"İstanbul Başakşehir F.K.","{'Mali': 2, 'Turkey': 30}"
"Kavala F.C.","{'Bulgaria': 2, 'Brazil': 2, 'Canada': 3, 'Greece': 132, 'North Macedonia': 4, 'Niger': 2, 'Nigeria': 2, 'Poland': 6, 'Serbia': 4}"
"SKN St. Pölten","{'Austria': 106, 'Bulgaria': 2, 'Serbia': 2}"
"FK Proleter Zrenjanin","{'Montenegro': 3, 'Serbia': 20, 'Yugoslavia': 21}"
"F.C. Copenhagen","{'Canada': 3, 'Czechia': 1, 'Denmark': 74, 'Greece': 2, 'Jordan': 2, 'Latvia': 2, 'Norway': 2, 'Oman': 2, 'Romania': 3, 'Senegal': 2, 'Slovenia': 2, 'Sweden': 10, 'South Africa': 6}"
"CD Oro","{'Brazil': 6, 'Chile': 8, 'Israel': 2, 'Mexico': 24}"
"Leones Negros UdeG","{'Brazil': 2, 'Guatemala': 2, 'Hungary': 3, 'Mexico': 26, 'Chad': 2, 'Trinidad and Tobago': 2}"
"Club Atlético River Plate (Montevideo)","{'Argentina': 6, 'Colombia': 4, 'Ecuador': 2, 'Jersey': 9, 'Chad': 4, 'Uruguay': 158, 'America': 18}"
"Julius Berger FC","{'Niger': 28, 'Nigeria': 28}"
"FC Biel","{'Switzerland': 12}"
"U.S. Ancona 1905","{'China': 4, 'Italy': 10}"
